id,name,description,casNumber,packSize,price,image
I5051-1L,Water,for HPLC,7732-18-5,1L,717,https://lab.honeywell.com/shop/media/catalog/product/placeholder/default/honeywell.jpg
34967-250ML,Acetonitrile,"CHROMASOLV™ LC-MS, ?99.9%",75-05-8,250ML,9776,https://lab.honeywell.com/shop/media/catalog/product/cache/ae13028c52290a7248189008ed57c9bd/3/4/3430d6614e36f4e1002504162210f0367a76a916f659eacf0ad02951f6c607e0.jpeg
I0124-2.5L,Ethyl Acetate,"Analytical reagent, Meets ACS Specifications for General Use",141-78-6,2.5L,2431,https://lab.honeywell.com/shop/media/catalog/product/placeholder/default/honeywell.jpg
I5013-2.5L,Glycerol,"ACS Reagent, ?99.5%",56-81-5,2.5L,3432,https://lab.honeywell.com/shop/media/catalog/product/placeholder/default/honeywell.jpg
39253-4L,Water,CHROMASOLV™ LC-MS,7732-18-5,4x4L,51447,https://lab.honeywell.com/shop/media/catalog/product/cache/ae13028c52290a7248189008ed57c9bd/0/4/04ace87f73cee31d19511e668d94dba424936f6e49ef4b12d5c43cf6b2a76bae.jpeg
14262-1L,Methanol,"CHROMASOLV™ LC-MS Ultra, tested for UHPLC-MS",67-56-1,1L,9884,https://lab.honeywell.com/shop/media/catalog/product/cache/ae13028c52290a7248189008ed57c9bd/9/4/9464e959a4c59a8f237d351074aa48ad0c5d4315bc3dee4c4ba230ac39bdd096.jpeg
14261-2L,Acetonitrile,"CHROMASOLV™ LC-MS Ultra, tested for UHPLC-MS",75-05-8,2L,20328,https://lab.honeywell.com/shop/media/catalog/product/cache/ae13028c52290a7248189008ed57c9bd/3/4/3430d6614e36f4e1002504162210f0367a76a916f659eacf0ad02951f6c607e0.jpeg
34821-50ML,HYDRANAL™ - Coulomat CG-K,Catholyte for coulometric Karl Fischer titration in ketones (methanol free),mixture,6x(10x5)ML,137644,https://lab.honeywell.com/shop/media/catalog/product/cache/ae13028c52290a7248189008ed57c9bd/e/e/eebbea80487aa31a232832906db1e9a7d073f22b8862c66628ada67dc5470452.jpeg
34840-50ML,HYDRANAL™ - Coulomat CG,Catholyte for coulometric Karl Fischer titration (methanol-based),mixture,6x(10x5)ML,61331,https://lab.honeywell.com/shop/media/catalog/product/cache/ae13028c52290a7248189008ed57c9bd/c/0/c03ae0e1a17e783cbf1ab20ca4a32eeecaa8562ab1ab14fc9e34fc4a67cd3c1d.jpeg
32301-100G,Ammonium acetate,"Puriss. p.a., ACS Reagent, Reag. Ph. Eur., ?98%",631-61-8,100G,4681,https://lab.honeywell.com/shop/media/catalog/product/cache/ae13028c52290a7248189008ed57c9bd/c/a/ca41d34026628ffa4015fb0a1ced5c5dc362db89d4eeafce0e9d994c19d93840.jpeg
I5014-500ml,Hydrochloric acid,"ACS Reagent, 36%",7647-01-0,500ML,486,https://lab.honeywell.com/shop/media/catalog/product/placeholder/default/honeywell.jpg
I5020-500ML,Nitric acid,"ACS Reagent, 70%",7697-37-2,500ML,626,https://lab.honeywell.com/shop/media/catalog/product/cache/ae13028c52290a7248189008ed57c9bd/c/a/catalog_product_honeywell.jpg
31103-1L,Acetate buffer solution PH 4.65,Sodium Acetate/Acetic Acid,64-19-7,1L,7740,https://lab.honeywell.com/shop/media/catalog/product/cache/ae13028c52290a7248189008ed57c9bd/b/6/b6ecfd90402910b8986fd55a5ed73aa16d80c37cfd5ee40bc04a53eb0610b9ed.jpeg
34807-500ML,HYDRANAL™ - Coulomat A,"Anolyte for coulometric Karl Fischer titration (methanol-chloroform-based), preferred for cells with diaphragm",mixture,6x500ML,63563,https://lab.honeywell.com/shop/media/catalog/product/cache/ae13028c52290a7248189008ed57c9bd/c/a/catalog_product_fluka.jpg
32221-500ML,Ethanol (Untaxed),"Puriss. p.a., absolute, ?99.8% (GC), for license holders only",64-17-5,500ML,5799,https://lab.honeywell.com/shop/media/catalog/product/cache/ae13028c52290a7248189008ed57c9bd/0/6/062f0ca73361d1d36849d065e1beeddc995374f8490e481a6e8f076884951569.jpeg
076-1L,"N,N-Dimethylformamide","B&J Brand™, for HPLC, GC and spectrophotometry, >99.9%",68-12-2,6x1L,115696,https://lab.honeywell.com/shop/media/catalog/product/placeholder/default/honeywell.jpg
34800-6X1L,HYDRANAL™ - Solvent,Medium for volumetric two-component Karl Fischer titration (methanol-based),mixture,6x1L,68286,https://lab.honeywell.com/shop/media/catalog/product/placeholder/default/honeywell.jpg
25669-1L,Chloroform,"CHROMASOLV™, for residue analysis, contains ~1% ethanol as stabilizer, ?99.8%",67-66-3,1L,13413,https://lab.honeywell.com/shop/media/catalog/product/cache/ae13028c52290a7248189008ed57c9bd/a/4/a4d7d0e393fe5009484c501579f1a8faec964a20c5b02f5acc038470f464fb91.jpeg
34986-2.5L,Hexane,CHROMASOLV™ LC-MS,110-54-3,1L,17793,https://lab.honeywell.com/shop/media/catalog/product/cache/ae13028c52290a7248189008ed57c9bd/3/6/36c19cb27c468bda744284e425aaca48d74d2287230df2152d9dd617bd85f17a.jpeg
34967-4X2.5L,Acetonitrile,"CHROMASOLV™ LC-MS, ?99.9%",75-05-8,4x2.5L,70827,https://lab.honeywell.com/shop/media/catalog/product/cache/ae13028c52290a7248189008ed57c9bd/3/4/3430d6614e36f4e1002504162210f0367a76a916f659eacf0ad02951f6c607e0.jpeg
650447-1L,2-Propanol,"CHROMASOLV™ Plus, for HPLC, 99.9%",67-63-0,1L,6866,https://lab.honeywell.com/shop/media/catalog/product/cache/ae13028c52290a7248189008ed57c9bd/9/d/9df74dba078b79bc1d672c8277c7fdb7bfa8c0e35052d30b69f78cbb102b9f3a.jpeg
732990,"Tipbox, empty, with gray tip-trap for tips upto 50u",BRAND pipette tips and filter tips as well as the corresponding TipBoxes are autoclavable at 121 °C (2 bar) acc. DIN EN 285.,,up to 50 µl,451,https://shop.brand.co.in/media/catalog/product/t/i/tipbox_yellow_empty.jpg
702600,"Pipette tips bulk, PP, 0,5-5 ml, colorless, non-sterile, IVD",BRAND pipette tips and filter tips as well as the corresponding TipBoxes are autoclavable at 121 °C (2 bar) acc. DIN EN 285,,"bulk packed, in bag",2345,https://shop.brand.co.in/media/catalog/product/p/i/pipette_tip_500-5000_2.jpg
